Resource Name,Vendor,2013 Total,2012 Total, UCB , UCD , UCI , UCLA , UCM , UCR , UCSD , UCSF , UCSB , UCSC 
JSTOR,JSTOR,"3,270,897","3,344,508","758,437","340,364","305,313","728,637","45,495","166,416","420,686",,"288,546","217,003"
Karger Online Journals,Karger,"84,308","78,917","6,321","11,343","5,224","19,016",533,"2,329","22,766","14,229","1,291","1,256"
Kirk-Othmer Encyclopedia of Chemical Technology,John Wiley & Sons,"4,631","3,258","2,866",288,117,304,9,45,816,27,100,17
Laser Institute of America [Journal of Laser Applications],American Institute of Physics (AIP),201,164,39,20,14,5,7,11,67,2,11,22
LWW Online Journals (Lippincott Williams & Wilkins ),OVID,"614,476","620,931","25,430","81,467","51,268","145,738","1,920","6,732","124,064","160,149","4,100","4,028"
Mary Ann Liebert Online Journals,Mary Ann Liebert,"97,683","111,086","8,377","14,741","9,897","22,146",967,"2,569","22,185","14,264","1,672",865
Materials Research Society (MRS) Online Proceedings Library,Materials Research Society,, -   ,,,,,,,,,,
Medical Physics,American Institute of Physics (AIP),"5,542","7,957",197,"1,128",933,89,84,26,"1,845","1,051",64,18
Methods in Enzymology,Elsevier B.V.,47,170,6,9,5,6, -   ,2,14,3,2, -   
MIT Press Online Journals,MIT Press ,"23,581","23,777","7,511","2,504","2,377","3,504",379,722,"4,108",357,"1,182",937
Nature Journals,Nature Group,"2,885,289","3,490,847","446,726","231,561","193,534","469,610","19,119","79,798","715,760","486,320","96,279","58,607"
New England Journal of Medicine,New England Journal of Medicine,"477,143","544,193",,,,,,,,,,
NRC Research Press Online Journals ,National Research Council of Canada,"38,499","37,058","6,757","7,544","2,509","4,676",392,"1,797","5,718","1,030","2,676","4,657"
Oxford Journals Online,Oxford University Press (Journals),"735,779","779,730","145,436","89,545","58,149","145,862","6,753","26,010","125,152","90,950","24,871","23,051"
Physics Today Archive,American Institute of Physics (AIP),"21,400","15,009","1,790","1,460","2,093",771,410,528,"2,832",249,"8,729",741
Project Muse Online Journals,Project Muse,"312,431","255,209","80,776","26,729","24,165","69,544","2,983","13,897","35,171","15,145","24,992","19,029"
PsycArticles,ProQuest,"257,694","283,097","37,980","35,675","27,001","49,661","10,929","23,130","17,810","8,766","30,890","15,763"
Royal Society (Great Britain) Online Journals,Royal Society of London,"160,273","86,875","34,462","21,911","11,531","26,946","2,723","6,828","28,275","6,739","11,321","8,972"
RSC Online Journals,Royal Society of Chemistry,"451,031","378,803","100,986","38,703","47,574","83,182","5,209","31,803","72,617","10,078","48,579","12,300"
Sage Online Journals,Sage Publications (Payment through CSA),"769,046","713,667","130,072","95,168","85,688","167,139","13,503","28,455","102,114","51,169","68,111","27,627"
Sax's Dangerous Properties of Industrial Materials,John Wiley & Sons,127,87,39,56,20, -   , -   , -   ,8, -   ,4, -   
Science,American Association for the Advancement of Science (AAAS),"722,206","656,666","170,802","66,963","53,898","114,765","6,640","23,003","131,052","91,905","38,271","24,907"
Science Signaling (Foremerly: Science's STKE : signal transduction knowledge environment),American Association for the Advancement of Science (AAAS),"19,293","20,714","2,245","1,386","1,324","3,306",97,244,"5,351","5,322",16,2
Science Translational Medicine,American Association for the Advancement of Science,"32,878","28,851","3,105","3,106","2,527","7,176",1,243,"7,323","9,032",22,343
ScienceDirect Online Journals ,Elsevier B.V.,"8,670,283","8,159,042","1,308,386","1,148,546","675,670","1,646,875","98,074","337,518","1,831,705","991,882","418,076","213,509"
Scientific American Archive,EBSCO,"10,506","9,266",910,"1,025",997,"3,100",416,505,739,327,688,"1,784"
Society of Exploration Geologists,American Institute of Physics (AIP),"2,710","2,835",855,118,20,246,14,46,817,5,251,338
Society of Rheology Journals,American Institute of Physics (AIP),"1,068","1,009",140,180,89,16,14,14,155,10,389,50
SPIE Digital Library,SPIE (International Society for Optical Engineering),"82,839","56,755","13,945","6,637","12,140","12,662",850,"2,443","16,294","1,744","5,364","2,577"
Springer LINK Online Journals,Springer-Verlag,"2,112,835","1,523,724","488,104","254,105","146,676","371,375","26,266","81,595","390,460","137,145","99,842","58,996"
Taylor & Francis Online Journals,Taylor & Francis,"524,853","553,395","125,391","59,764","53,378","108,551","7,460","22,752","62,918","15,305","44,563","24,771"
Thieme Science Journals,Georg Thieme Verlag,"41,096","31,662","8,247","2,650","5,261","6,563",105,607,"8,699","4,765","3,684",515
Treatise on Geochemistry,Elsevier B.V.,"1,023",690,218,86,26,112,5,,529,,1,46
Ullmann's Encyclopedia of Industrial Chemistry,John Wiley & Sons,"2,858","4,485",873,274,164,209,11,59,889,75,148,36
University of California Press online journals,JSTOR,"44,298","133,839","11,161","4,021","4,241","8,329",877,"2,155","4,961",243,"5,097","3,174"
University of Chicago Press online journals,JSTOR,"140,067","332,503","34,197","15,520","13,320","28,056","1,508","6,912","17,893","2,917","10,897","8,663"
Wiley InterScience Journals,John Wiley & Sons,"3,322,934","4,126,296","585,699","458,915","248,761","611,155","33,698","94,031","545,143","260,965","200,535","284,032"
